"id","activity_id","budget_id","material_id","quantity"
2,3,9,10,12.0
3,4,9,1,0.0
4,4,9,3,0.0
5,4,9,4,0.0
6,4,9,10,0.0
7,4,9,11,0.0
11,5,9,8,6.0
12,5,9,9,6.0
13,6,9,1,0.0
14,6,9,2,0.0
15,6,9,3,0.0
16,6,9,4,0.0
17,6,9,5,0.0
18,6,9,6,0.0
19,6,9,7,0.0
21,3,10,10,12.0
22,4,10,1,0.0
23,4,10,3,0.0
24,4,10,4,0.0
25,4,10,10,0.0
26,4,10,11,0.0
30,5,10,8,6.0
31,5,10,9,6.0
32,6,10,1,0.0
33,6,10,2,0.0
34,6,10,3,0.0
35,6,10,4,0.0
36,6,10,5,0.0
37,6,10,6,0.0
38,6,10,7,0.0
40,3,7,10,4.0
41,4,7,1,5.0
42,4,7,3,5.0
44,4,7,10,4.0
46,5,7,1,0.0
47,5,7,2,0.0
48,5,7,3,0.0
49,5,7,8,0.0
50,5,7,9,0.0
51,6,7,1,0.0
52,6,7,2,0.0
53,6,7,3,0.0
54,6,7,4,0.0
55,6,7,5,0.0
56,6,7,6,0.0
57,6,7,7,0.0
59,3,8,10,4.0
60,4,8,1,5.0
61,4,8,3,5.0
63,4,8,10,4.0
65,5,8,1,0.0
66,5,8,2,0.0
67,5,8,3,0.0
68,5,8,8,0.0
69,5,8,9,0.0
70,6,8,1,0.0
71,6,8,2,0.0
72,6,8,3,0.0
73,6,8,4,0.0
74,6,8,5,0.0
75,6,8,6,0.0
76,6,8,7,0.0
39,3,7,4,2.5
43,4,7,4,2.5
45,4,7,11,1.5
58,3,8,4,2.5
62,4,8,4,2.5
64,4,8,11,1.5
1,3,9,4,7.5
8,5,9,1,4.5
9,5,9,2,4.5
10,5,9,3,4.5
20,3,10,4,7.5
27,5,10,1,4.5
28,5,10,2,4.5
29,5,10,3,4.5
